Indicator,Disaggregation combinations using this value
#10-4-1,1
#16-9-1,12
#2-2-1,3
#2-2-2,6
#3-1-1,1
#3-1-2,3
#3-2-1,1
#3-2-2,1
#3-2-MZ_1,1
#3-7-1,3
#3-7-2,1
#5-2-1,56
#5-2-2,1
#5-3-1,2
#9-2-1,1
