Disaggregation,Number of indicators,Number of values
AGE,88,22
COMPOSITE_BREAKDOWN,88,35
DISABILITY_STATUS,88,3
EDUCATION_LEV,88,10
INCOME_WEALTH_QUANTILE,88,6
OCCUPATION,88,18
REF_AREA,88,1
REPORTING_TYPE,88,1
SERIES,88,99
SEX,88,3
TIME_DETAIL,88,9
UNIT_MEASURE,88,8
UNIT_MULT,88,1
URBANISATION,88,3
