Value,Disaggregation combinations using this value,Number of indicators
AGG_1_2,222,4
AGG_2_3,36,1
AGG_2,186,3
AGG_3,56,1
ISCED11_1,12,1
ISCED11_2,12,1
ISCED11_3,12,1
ISCED11_4,1,1
ISCED97_5B,1,1
_T,1035,81
