Year,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,OCCUPATION,DISABILITY_STATUS,COMPOSITE_BREAKDOWN,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,UNIT_MULT,TIME_DETAIL,Value
2015,N,D19,508,F,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2015,35.0
2016,N,D19,508,F,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2016,43.0
2017,N,D19,508,F,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2017,42.0
2018,N,D19,508,F,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2018,46.0
2015,N,D19,508,F,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2015,15.6
2016,N,D19,508,F,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2016,30.0
2017,N,D19,508,F,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2017,22.1
2018,N,D19,508,F,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2018,27.9
2015,N,D19,508,F,_T,_T,AGG_3,_T,_T,_T,_T,PT,0,2015,8.7
2016,N,D19,508,F,_T,_T,AGG_3,_T,_T,_T,_T,PT,0,2016,15.4
2017,N,D19,508,F,_T,_T,AGG_3,_T,_T,_T,_T,PT,0,2017,11.5
2018,N,D19,508,F,_T,_T,AGG_3,_T,_T,_T,_T,PT,0,2018,20.0
2015,N,D19,508,M,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2015,39.0
2016,N,D19,508,M,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2016,47.0
2017,N,D19,508,M,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2017,48.0
2018,N,D19,508,M,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2018,53.0
2015,N,D19,508,M,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2015,17.2
2016,N,D19,508,M,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2016,29.7
2017,N,D19,508,M,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2017,24.2
2018,N,D19,508,M,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2018,27.7
2015,N,D19,508,M,_T,_T,AGG_3,_T,_T,_T,_T,PT,0,2015,10.2
2016,N,D19,508,M,_T,_T,AGG_3,_T,_T,_T,_T,PT,0,2016,16.0
2017,N,D19,508,M,_T,_T,AGG_3,_T,_T,_T,_T,PT,0,2017,9.4
2018,N,D19,508,M,_T,_T,AGG_3,_T,_T,_T,_T,PT,0,2018,19.2
2015,N,D19,508,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2015,37.0
2016,N,D19,508,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2016,45.0
2017,N,D19,508,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2017,45.0
2018,N,D19,508,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2018,49.0
2015,N,D19,508,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2015,16.4
2016,N,D19,508,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2016,29.9
2017,N,D19,508,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2017,23.2
2018,N,D19,508,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2018,27.8
2015,N,D19,508,_T,_T,_T,AGG_3,_T,_T,_T,_T,PT,0,2015,9.5
2016,N,D19,508,_T,_T,_T,AGG_3,_T,_T,_T,_T,PT,0,2016,15.7
2017,N,D19,508,_T,_T,_T,AGG_3,_T,_T,_T,_T,PT,0,2017,10.4
2018,N,D19,508,_T,_T,_T,AGG_3,_T,_T,_T,_T,PT,0,2018,19.6
2015,N,D19,MZ-A,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2015,28.0
2016,N,D19,MZ-A,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2016,34.0
2017,N,D19,MZ-A,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2017,35.0
2018,N,D19,MZ-A,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2018,38.0
2015,N,D19,MZ-A,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2015,13.4
2016,N,D19,MZ-A,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2016,20.6
2017,N,D19,MZ-A,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2017,16.6
2018,N,D19,MZ-A,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2018,18.8
2015,N,D19,MZ-A,_T,_T,_T,AGG_3,_T,_T,_T,_T,PT,0,2015,7.0
2016,N,D19,MZ-A,_T,_T,_T,AGG_3,_T,_T,_T,_T,PT,0,2016,12.8
2017,N,D19,MZ-A,_T,_T,_T,AGG_3,_T,_T,_T,_T,PT,0,2017,10.0
2018,N,D19,MZ-A,_T,_T,_T,AGG_3,_T,_T,_T,_T,PT,0,2018,15.3
2015,N,D19,MZ-P,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2015,22.0
2016,N,D19,MZ-P,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2016,32.0
2017,N,D19,MZ-P,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2017,31.0
2018,N,D19,MZ-P,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2018,37.0
2015,N,D19,MZ-P,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2015,6.5
2016,N,D19,MZ-P,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2016,22.6
2017,N,D19,MZ-P,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2017,15.4
2018,N,D19,MZ-P,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2018,21.0
2015,N,D19,MZ-P,_T,_T,_T,AGG_3,_T,_T,_T,_T,PT,0,2015,6.0
2016,N,D19,MZ-P,_T,_T,_T,AGG_3,_T,_T,_T,_T,PT,0,2016,11.3
2017,N,D19,MZ-P,_T,_T,_T,AGG_3,_T,_T,_T,_T,PT,0,2017,9.2
2018,N,D19,MZ-P,_T,_T,_T,AGG_3,_T,_T,_T,_T,PT,0,2018,17.4
2015,N,D19,MZ-N,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2015,27.0
2016,N,D19,MZ-N,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2016,31.0
2017,N,D19,MZ-N,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2017,31.0
2018,N,D19,MZ-N,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2018,35.0
2015,N,D19,MZ-N,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2015,12.4
2016,N,D19,MZ-N,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2016,17.9
2017,N,D19,MZ-N,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2017,16.1
2018,N,D19,MZ-N,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2018,16.6
2015,N,D19,MZ-N,_T,_T,_T,AGG_3,_T,_T,_T,_T,PT,0,2015,8.5
2016,N,D19,MZ-N,_T,_T,_T,AGG_3,_T,_T,_T,_T,PT,0,2016,10.9
2017,N,D19,MZ-N,_T,_T,_T,AGG_3,_T,_T,_T,_T,PT,0,2017,9.0
2018,N,D19,MZ-N,_T,_T,_T,AGG_3,_T,_T,_T,_T,PT,0,2018,11.9
2015,N,D19,MZ-Q,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2015,30.0
2016,N,D19,MZ-Q,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2016,33.0
2017,N,D19,MZ-Q,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2017,34.0
2018,N,D19,MZ-Q,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2018,38.0
2015,N,D19,MZ-Q,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2015,11.0
2016,N,D19,MZ-Q,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2016,16.6
2017,N,D19,MZ-Q,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2017,15.8
2018,N,D19,MZ-Q,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2018,15.3
2015,N,D19,MZ-Q,_T,_T,_T,AGG_3,_T,_T,_T,_T,PT,0,2015,5.9
2016,N,D19,MZ-Q,_T,_T,_T,AGG_3,_T,_T,_T,_T,PT,0,2016,10.5
2017,N,D19,MZ-Q,_T,_T,_T,AGG_3,_T,_T,_T,_T,PT,0,2017,7.7
2018,N,D19,MZ-Q,_T,_T,_T,AGG_3,_T,_T,_T,_T,PT,0,2018,12.9
2015,N,D19,MZ-T,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2015,29.0
2016,N,D19,MZ-T,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2016,34.0
2017,N,D19,MZ-T,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2017,36.0
2018,N,D19,MZ-T,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2018,40.0
2015,N,D19,MZ-T,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2015,13.1
2016,N,D19,MZ-T,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2016,18.9
2017,N,D19,MZ-T,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2017,15.2
2018,N,D19,MZ-T,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2018,17.2
2015,N,D19,MZ-T,_T,_T,_T,AGG_3,_T,_T,_T,_T,PT,0,2015,6.6
2016,N,D19,MZ-T,_T,_T,_T,AGG_3,_T,_T,_T,_T,PT,0,2016,7.7
2017,N,D19,MZ-T,_T,_T,_T,AGG_3,_T,_T,_T,_T,PT,0,2017,5.4
2018,N,D19,MZ-T,_T,_T,_T,AGG_3,_T,_T,_T,_T,PT,0,2018,11.3
2015,N,D19,MZ-B,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2015,39.0
2016,N,D19,MZ-B,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2016,51.0
2017,N,D19,MZ-B,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2017,47.0
2018,N,D19,MZ-B,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2018,53.0
2015,N,D19,MZ-B,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2015,18.6
