Year,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,OCCUPATION,DISABILITY_STATUS,COMPOSITE_BREAKDOWN,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,UNIT_MULT,TIME_DETAIL,Value
2015,N,SL_TLF_UEM,508,F,_T,_T,_T,_T,_T,_T,_T,PT,0,2015,21.8
2015,N,SL_TLF_UEM,508,F,_T,_T,_T,_T,PD,_T,_T,PT,0,2015,22.3
2015,N,SL_TLF_UEM,508,F,Y15T19,_T,_T,_T,_T,_T,_T,PT,0,2015,41.4
2015,N,SL_TLF_UEM,508,F,Y15T19,_T,_T,_T,PD,_T,_T,PT,0,2015,30.5
2015,N,SL_TLF_UEM,508,F,Y20T24,_T,_T,_T,_T,_T,_T,PT,0,2015,30.5
2015,N,SL_TLF_UEM,508,F,Y20T24,_T,_T,_T,PD,_T,_T,PT,0,2015,39.1
2015,N,SL_TLF_UEM,508,F,Y25T29,_T,_T,_T,_T,_T,_T,PT,0,2015,24.0
2015,N,SL_TLF_UEM,508,F,Y25T29,_T,_T,_T,PD,_T,_T,PT,0,2015,25.2
2015,N,SL_TLF_UEM,508,F,Y30T34,_T,_T,_T,_T,_T,_T,PT,0,2015,18.2
2015,N,SL_TLF_UEM,508,F,Y30T34,_T,_T,_T,PD,_T,_T,PT,0,2015,21.5
2015,N,SL_TLF_UEM,508,F,Y35T39,_T,_T,_T,_T,_T,_T,PT,0,2015,14.8
2015,N,SL_TLF_UEM,508,F,Y35T39,_T,_T,_T,PD,_T,_T,PT,0,2015,13.3
2015,N,SL_TLF_UEM,508,F,Y40T44,_T,_T,_T,_T,_T,_T,PT,0,2015,14.1
2015,N,SL_TLF_UEM,508,F,Y40T44,_T,_T,_T,PD,_T,_T,PT,0,2015,1.6
2015,N,SL_TLF_UEM,508,F,Y45T49,_T,_T,_T,_T,_T,_T,PT,0,2015,14.3
2015,N,SL_TLF_UEM,508,F,Y45T49,_T,_T,_T,PD,_T,_T,PT,0,2015,17.2
2015,N,SL_TLF_UEM,508,F,Y50T54,_T,_T,_T,_T,_T,_T,PT,0,2015,13.1
2015,N,SL_TLF_UEM,508,F,Y50T54,_T,_T,_T,PD,_T,_T,PT,0,2015,33.9
2015,N,SL_TLF_UEM,508,F,Y55T59,_T,_T,_T,_T,_T,_T,PT,0,2015,15.2
2015,N,SL_TLF_UEM,508,F,Y55T59,_T,_T,_T,PD,_T,_T,PT,0,2015,18.7
2015,N,SL_TLF_UEM,508,F,Y60T64,_T,_T,_T,_T,_T,_T,PT,0,2015,12.7
2015,N,SL_TLF_UEM,508,F,Y60T64,_T,_T,_T,PD,_T,_T,PT,0,2015,18.2
2015,N,SL_TLF_UEM,508,F,Y_GE65,_T,_T,_T,_T,_T,_T,PT,0,2015,15.3
2015,N,SL_TLF_UEM,508,F,Y_GE65,_T,_T,_T,PD,_T,_T,PT,0,2015,25.1
2015,N,SL_TLF_UEM,508,M,_T,_T,_T,_T,_T,_T,_T,PT,0,2015,19.5
2015,N,SL_TLF_UEM,508,M,_T,_T,_T,_T,PD,_T,_T,PT,0,2015,19.9
2015,N,SL_TLF_UEM,508,M,Y15T19,_T,_T,_T,_T,_T,_T,PT,0,2015,46.2
2015,N,SL_TLF_UEM,508,M,Y15T19,_T,_T,_T,PD,_T,_T,PT,0,2015,54.7
2015,N,SL_TLF_UEM,508,M,Y20T24,_T,_T,_T,_T,_T,_T,PT,0,2015,29.4
2015,N,SL_TLF_UEM,508,M,Y20T24,_T,_T,_T,PD,_T,_T,PT,0,2015,18.7
2015,N,SL_TLF_UEM,508,M,Y25T29,_T,_T,_T,_T,_T,_T,PT,0,2015,18.2
2015,N,SL_TLF_UEM,508,M,Y25T29,_T,_T,_T,PD,_T,_T,PT,0,2015,28.2
2015,N,SL_TLF_UEM,508,M,Y30T34,_T,_T,_T,_T,_T,_T,PT,0,2015,12.6
2015,N,SL_TLF_UEM,508,M,Y30T34,_T,_T,_T,PD,_T,_T,PT,0,2015,26.0
2015,N,SL_TLF_UEM,508,M,Y35T39,_T,_T,_T,_T,_T,_T,PT,0,2015,11.2
2015,N,SL_TLF_UEM,508,M,Y35T39,_T,_T,_T,PD,_T,_T,PT,0,2015,5.8
2015,N,SL_TLF_UEM,508,M,Y40T44,_T,_T,_T,_T,_T,_T,PT,0,2015,11.3
2015,N,SL_TLF_UEM,508,M,Y40T44,_T,_T,_T,PD,_T,_T,PT,0,2015,17.5
2015,N,SL_TLF_UEM,508,M,Y45T49,_T,_T,_T,_T,_T,_T,PT,0,2015,10.4
2015,N,SL_TLF_UEM,508,M,Y45T49,_T,_T,_T,PD,_T,_T,PT,0,2015,15.3
2015,N,SL_TLF_UEM,508,M,Y50T54,_T,_T,_T,_T,_T,_T,PT,0,2015,7.8
2015,N,SL_TLF_UEM,508,M,Y50T54,_T,_T,_T,PD,_T,_T,PT,0,2015,18.2
2015,N,SL_TLF_UEM,508,M,Y55T59,_T,_T,_T,_T,_T,_T,PT,0,2015,9.8
2015,N,SL_TLF_UEM,508,M,Y55T59,_T,_T,_T,PD,_T,_T,PT,0,2015,1.2
2015,N,SL_TLF_UEM,508,M,Y60T64,_T,_T,_T,_T,_T,_T,PT,0,2015,11.4
2015,N,SL_TLF_UEM,508,M,Y60T64,_T,_T,_T,PD,_T,_T,PT,0,2015,16.7
2015,N,SL_TLF_UEM,508,M,Y_GE65,_T,_T,_T,_T,_T,_T,PT,0,2015,12.3
2015,N,SL_TLF_UEM,508,M,Y_GE65,_T,_T,_T,PD,_T,_T,PT,0,2015,16.3
2015,N,SL_TLF_UEM,508,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2015,20.7
2015,N,SL_TLF_UEM,508,_T,_T,_T,_T,_T,PD,_T,_T,PT,0,2015,21.0
2015,N,SL_TLF_UEM,508,_T,Y15T19,_T,_T,_T,_T,_T,_T,PT,0,2015,43.8
2015,N,SL_TLF_UEM,508,_T,Y15T19,_T,_T,_T,PD,_T,_T,PT,0,2015,43.3
2015,N,SL_TLF_UEM,508,_T,Y20T24,_T,_T,_T,_T,_T,_T,PT,0,2015,30.0
2015,N,SL_TLF_UEM,508,_T,Y20T24,_T,_T,_T,PD,_T,_T,PT,0,2015,25.3
