Year,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,OCCUPATION,DISABILITY_STATUS,COMPOSITE_BREAKDOWN,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,UNIT_MULT,TIME_DETAIL,Value
2015,N,D18,508,F,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2015,111.0
2016,N,D18,508,F,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2016,111.0
2017,N,D18,508,F,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2017,110.3
2018,N,D18,508,F,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2018,115.5
2019,N,D18,508,F,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2019,1119.3
2015,N,D18,508,F,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2015,42.4
2016,N,D18,508,F,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2016,40.1
2017,N,D18,508,F,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2017,39.3
2018,N,D18,508,F,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2018,40.2
2019,N,D18,508,F,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2019,41.9
2015,N,D18,508,M,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2015,120.7
2016,N,D18,508,M,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2016,121.6
2017,N,D18,508,M,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2017,120.6
2018,N,D18,508,M,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2018,125.9
2019,N,D18,508,M,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2019,129.2
2015,N,D18,508,M,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2015,44.6
2016,N,D18,508,M,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2016,42.3
2017,N,D18,508,M,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2017,41.2
2018,N,D18,508,M,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2018,43.0
2019,N,D18,508,M,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2019,45.6
2015,N,D18,508,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2015,115.9
2016,N,D18,508,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2016,116.3
2017,N,D18,508,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2017,115.4
2018,N,D18,508,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2018,120.7
2019,N,D18,508,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2019,124.2
2015,N,D18,508,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2015,43.5
2016,N,D18,508,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2016,41.2
2017,N,D18,508,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2017,40.3
2018,N,D18,508,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2018,41.6
2019,N,D18,508,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2019,43.7
2015,N,D18,MZ-A,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2015,107.7
2016,N,D18,MZ-A,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2016,103.7
2017,N,D18,MZ-A,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2017,99.4
2018,N,D18,MZ-A,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2018,102.7
2019,N,D18,MZ-A,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2019,119.5
2015,N,D18,MZ-A,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2015,33.4
2016,N,D18,MZ-A,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2016,31.7
2017,N,D18,MZ-A,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2017,32.0
2018,N,D18,MZ-A,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2018,32.5
2019,N,D18,MZ-A,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2019,33.9
2015,N,D18,MZ-P,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2015,111.6
2016,N,D18,MZ-P,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2016,112.1
2017,N,D18,MZ-P,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2017,107.3
2018,N,D18,MZ-P,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2018,114.4
2019,N,D18,MZ-P,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2019,103.3
