Year,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,OCCUPATION,DISABILITY_STATUS,COMPOSITE_BREAKDOWN,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,UNIT_MULT,TIME_DETAIL,Value
2015,N,SE_GPI_PART,508,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2015,0.91
2016,N,SE_GPI_PART,508,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2016,0.92
2017,N,SE_GPI_PART,508,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2017,0.93
2015,N,SE_GPI_PART,508,_T,_T,_T,AGG_2_3,_T,_T,_T,_T,PT,0,2015,0.9
2016,N,SE_GPI_PART,508,_T,_T,_T,AGG_2_3,_T,_T,_T,_T,PT,0,2016,0.95
2017,N,SE_GPI_PART,508,_T,_T,_T,AGG_2_3,_T,_T,_T,_T,PT,0,2017,0.96
2015,N,SE_GPI_PART,MZ-A,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2015,0.93
2016,N,SE_GPI_PART,MZ-A,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2016,0.93
2017,N,SE_GPI_PART,MZ-A,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2017,0.93
2015,N,SE_GPI_PART,MZ-A,_T,_T,_T,AGG_2_3,_T,_T,_T,_T,PT,0,2015,0.76
2016,N,SE_GPI_PART,MZ-A,_T,_T,_T,AGG_2_3,_T,_T,_T,_T,PT,0,2016,0.79
2017,N,SE_GPI_PART,MZ-A,_T,_T,_T,AGG_2_3,_T,_T,_T,_T,PT,0,2017,0.79
2015,N,SE_GPI_PART,MZ-P,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2015,0.9
2016,N,SE_GPI_PART,MZ-P,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2016,0.92
2017,N,SE_GPI_PART,MZ-P,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2017,0.94
